A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
nan,nan,nan,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,3.00E+00,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,nan
nan,nan,5.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.00E+00,nan,nan,nan,nan,nan,5.00E+00,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan,5.00E+00,nan,nan,nan,5.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,5.00E+00,nan,nan,5.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,5.00E+00,nan,5.00E+00,nan,5.00E+00,nan,nan,nan,nan,5.00E+00,nan,nan,5.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.00E+00,nan,nan,5.00E+00,nan,nan,nan,nan,5.00E+00,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,5.00E+00,nan,nan,nan,nan,nan,nan,nan,4.00E+00,nan,nan,nan,4.00E+00,nan,nan,nan,5.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,1.00E+00,nan,nan,1.00E+00,nan,nan,nan,nan,nan,5.00E+00,4.00E+00,nan,nan,nan,nan,nan,4.00E+00,nan,nan,nan,nan,nan,1.00E+00,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.00E+00,nan,nan,nan,3.00E+00,4.00E+00,nan,nan,nan,5.00E+00,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,nan
4.00E+00,4.00E+00,nan,nan,4.00E+00,nan,nan,nan,nan,3.00E+00,nan,nan,nan,3.00E+00,3.00E+00,4.00E+00,nan,nan,3.00E+00,nan,1.00E+00,nan,nan,3.00E+00,nan,1.00E+00,nan,nan,3.00E+00,nan,3.00E+00,4.00E+00,3.00E+00,3.00E+00,4.00E+00,nan,nan,nan,nan,nan,2.00E+00,3.00E+00,2.00E+00,nan,3.00E+00,3.00E+00,nan,nan,nan,nan,2.00E+00,nan,nan,nan,nan,3.00E+00,nan,4.00E+00,nan,nan,nan,nan,nan,3.00E+00,3.00E+00,nan,nan,nan,nan,nan,nan,3.00E+00,4.00E+00,nan,3.00E+00,3.00E+00,nan,nan,nan
nan,nan,4.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.00E+00,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.00E+00,nan,4.00E+00,nan,5.00E+00,4.00E+00,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,1.00E+00,3.00E+00,nan,nan,5.00E+00,4.00E+00,nan,nan,nan,1.00E+00,1.00E+00,nan,1.00E+00,nan,nan,5.00E+00,nan,nan,nan,nan,nan,5.00E+00,nan,4.00E+00,nan,nan,nan,nan
nan,nan,nan,nan,5.00E+00,nan,nan,nan,nan,nan,nan,1.00E+00,5.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.00E+00,nan,nan,nan,nan,nan,nan,nan,1.00E+00,5.00E+00,nan,1.00E+00,nan,nan,1.00E+00,1.00E+00,nan,nan,nan,nan,nan,4.00E+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.00E+00,nan,nan,nan,5.00E+00,nan,5.00E+00,2.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,2.00E+00,nan,1.00E+00,nan,nan,2.00E+00,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,nan,4.00E+00,nan,nan,nan,1.00E+00,1.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,4.00E+00,nan,nan,nan,nan,nan,nan,1.00E+00,3.00E+00,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.00E+00,nan,nan,2.00E+00,nan,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.00E+00,4.00E+00,nan,nan,nan,nan,nan,nan,nan,2.00E+00,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,3.00E+00,nan,nan,nan,3.00E+00,nan,3.00E+00,nan,4.00E+00,3.00E+00,nan,3.00E+00,nan,2.00E+00,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,4.00E+00,1.00E+00,3.00E+00,nan,nan,nan,3.00E+00,3.00E+00,nan,nan,3.00E+00,nan,nan,nan,nan,nan,3.00E+00,nan,nan,3.00E+00,nan,3.00E+00,3.00E+00,3.00E+00,nan,2.00E+00,2.00E+00,4.00E+00,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,3.00E+00,nan,nan,3.00E+00,nan,nan,3.00E+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,nan,3.00E+00,3.00E+00,4.00E+00,nan,4.00E+00,nan,3.00E+00,nan,nan,nan,3.00E+00,3.00E+00,4.00E+00,4.00E+00,3.00E+00,nan,nan,nan,3.00E+00,2.00E+00,3.00E+00,nan,5.00E+00,nan,nan,3.00E+00,nan,4.00E+00,3.00E+00,1.00E+00,nan,nan,nan,nan,2.00E+00,3.00E+00,nan,3.00E+00,3.00E+00,5.00E+00,3.00E+00,4.00E+00,3.00E+00,1.00E+00,1.00E+00,nan,4.00E+00,nan,3.00E+00,4.00E+00,4.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00,5.00E+00,2.00E+00,4.00E+00,4.00E+00,4.00E+00,nan,nan,3.00E+00,nan,nan,nan,4.00E+00,nan,2.00E+00,nan,5.00E+00,3.00E+00,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,3.00E+00,nan,nan,3.00E+00,nan,nan,nan,nan,3.00E+00,3.00E+00,3.00E+00,nan,nan,nan,4.00E+00,nan,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.00E+00,4.00E+00,nan,4.00E+00,3.00E+00,nan,nan,nan,nan,nan,2.00E+00,3.00E+00,nan,nan,nan,nan,nan,3.00E+00,nan,nan,3.00E+00,nan,nan,nan,3.00E+00,nan,3.00E+00,nan,nan,3.00E+00,nan,2.00E+00,nan,nan,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan
4.00E+00,4.00E+00,3.00E+00,nan,nan,2.00E+00,nan,nan,2.00E+00,nan,4.00E+00,nan,nan,nan,3.00E+00,nan,nan,nan,3.00E+00,nan,nan,2.00E+00,nan,3.00E+00,nan,2.00E+00,2.00E+00,1.00E+00,nan,nan,nan,nan,nan,2.00E+00,nan,nan,nan,2.00E+00,nan,2.00E+00,nan,2.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,1.00E+00,1.00E+00,4.00E+00,nan,2.00E+00,1.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,2.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.00E+00,1.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,4.00E+00,nan,nan,nan,1.00E+00,nan,nan,nan,4.00E+00,nan,nan,nan,2.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,5.00E+00,5.00E+00,nan,nan,1.00E+00,4.00E+00,5.00E+00,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,nan,nan,nan,nan,4.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,3.00E+00,nan,nan,4.00E+00,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan
4.00E+00,5.00E+00,nan,nan,5.00E+00,nan,4.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.00E+00,4.00E+00,3.00E+00,nan,nan,nan,nan,3.00E+00,nan,1.00E+00,4.00E+00,nan,3.00E+00,nan,nan,3.00E+00,nan,nan,nan,4.00E+00,nan,nan,nan,3.00E+00,nan,nan,nan,3.00E+00,nan,nan,nan,nan,2.00E+00,nan,4.00E+00,nan,2.00E+00,4.00E+00,nan,4.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,4.00E+00,nan,nan,3.00E+00,nan
nan,4.00E+00,2.00E+00,nan,4.00E+00,nan,2.00E+00,nan,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.00E+00,nan,1.00E+00,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.00E+00,nan,nan,2.00E+00,nan,2.00E+00,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,4.00E+00,nan,3.00E+00,nan,nan,nan,nan,2.00E+00,nan,1.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.00E+00,nan,nan,nan,nan,nan,3.00E+00,1.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,1.00E+00,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.00E+00,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,nan,nan,nan,nan,nan,nan,4.00E+00,nan,4.00E+00,4.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.00E+00,nan,nan,nan,nan,nan,1.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.00E+00,2.00E+00,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.00E+00,2.00E+00,nan,nan,nan,nan,nan,nan,2.00E+00,nan,nan,4.00E+00,nan,nan,nan,4.00E+00
nan,nan,nan,nan,nan,nan,nan,2.00E+00,nan,nan,nan,3.00E+00,nan,nan,3.00E+00,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.00E+00,nan,nan,nan,3.00E+00,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,3.00E+00,3.00E+00,nan,nan,nan,nan,nan,nan,nan
4.00E+00,3.00E+00,4.00E+00,nan,4.00E+00,nan,4.00E+00,3.00E+00,nan,nan,2.00E+00,nan,3.00E+00,4.00E+00,nan,3.00E+00,2.00E+00,nan,nan,nan,2.00E+00,nan,nan,nan,nan,nan,1.00E+00,nan,3.00E+00,4.00E+00,nan,1.00E+00,nan,3.00E+00,nan,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan,2.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.00E+00,nan,4.00E+00,4.00E+00,nan,nan,3.00E+00,nan,nan,4.00E+00,nan,nan,3.00E+00,nan,nan,nan,3.00E+00,nan,nan,2.00E+00,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.00E+00,1.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.00E+00,nan,3.00E+00,nan,nan,nan,nan,nan,4.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.00E+00,nan,nan,1.00E+00,nan
4.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,4.00E+00,nan,nan,3.00E+00,nan,1.00E+00,4.00E+00,1.00E+00,nan,nan,4.00E+00,nan,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,1.00E+00,nan,nan,nan,nan,nan,4.00E+00,nan,nan,nan,nan,nan,1.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.00E+00,3.00E+00,3.00E+00,nan,3.00E+00,3.00E+00,1.00E+00,1.00E+00,nan,nan,4.00E+00,nan,3.00E+00,3.00E+00,4.00E+00,nan,3.00E+00,nan,3.00E+00,3.00E+00,nan,nan,nan,3.00E+00,nan,3.00E+00,4.00E+00,nan,3.00E+00,nan,3.00E+00,4.00E+00,3.00E+00,1.00E+00,3.00E+00,nan,nan,nan,nan,nan,nan,4.00E+00,nan,3.00E+00,4.00E+00,nan,3.00E+00,nan,nan,nan,nan,nan,nan,nan,4.00E+00,4.00E+00,nan,4.00E+00,3.00E+00,nan,nan,nan,nan,3.00E+00,nan,nan,nan,nan,3.00E+00,nan,nan,1.00E+00,4.00E+00,nan,4.00E+00,nan,3.00E+00,1.00E+00,nan
4.00E+00,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,4.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,1.00E+00,nan,2.00E+00,4.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.00E+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.00E+00,nan,nan
