,userid,itemid,Time,Location,Companion,rating
46,1095,65,1.0,1.0,1.0,1
47,1095,11,1.0,1.0,1.0,1
48,1095,72,1.0,1.0,1.0,1
49,1106,63,1.0,1.0,1.0,4
50,1106,23,1.0,1.0,1.0,5
51,1106,74,1.0,1.0,1.0,5
52,1106,41,1.0,1.0,1.0,5
53,1106,34,1.0,1.0,1.0,4
54,1106,8,1.0,1.0,1.0,2
55,1106,26,1.0,1.0,1.0,2
56,1106,73,1.0,1.0,1.0,2
57,1102,14,1.0,1.0,1.0,4
58,1102,63,1.0,1.0,1.0,4
59,1102,23,1.0,1.0,1.0,5
60,1102,41,1.0,1.0,1.0,5
61,1102,19,1.0,1.0,1.0,4
62,1102,73,1.0,1.0,1.0,3
63,1102,18,1.0,1.0,1.0,3
64,1102,24,1.0,1.0,1.0,3
65,1117,71,1.0,1.0,1.0,3
66,1117,2,1.0,1.0,1.0,4
67,1117,39,1.0,1.0,1.0,4
68,1117,33,1.0,1.0,1.0,5
69,1117,64,1.0,1.0,1.0,4
70,1117,7,1.0,1.0,1.0,5
71,1117,72,1.0,1.0,1.0,4
72,1117,55,1.0,1.0,1.0,5
73,1117,10,1.0,1.0,1.0,5
74,1091,74,1.0,1.0,1.0,3
75,1091,66,1.0,1.0,1.0,4
76,1091,39,1.0,1.0,1.0,3
77,1091,6,1.0,1.0,1.0,5
78,1091,4,1.0,1.0,1.0,5
79,1091,45,1.0,1.0,1.0,4
80,1091,0,1.0,1.0,1.0,4
81,1091,20,1.0,1.0,1.0,3
82,1091,73,1.0,1.0,1.0,1
83,1091,34,1.0,1.0,1.0,2
84,1091,65,1.0,1.0,1.0,1
85,1091,31,1.0,1.0,1.0,1
86,1091,29,1.0,1.0,1.0,2
87,1091,7,1.0,1.0,1.0,2
88,1091,50,1.0,1.0,1.0,1
89,1091,49,1.0,1.0,1.0,1
90,1025,16,1.0,1.0,1.0,5
91,1025,35,1.0,1.0,1.0,5
92,1025,76,1.0,1.0,1.0,5
93,1025,31,1.0,1.0,1.0,5
94,1025,12,1.0,1.0,1.0,5
95,1025,1,1.0,1.0,1.0,5
96,1025,0,1.0,1.0,1.0,5
97,1025,10,1.0,1.0,1.0,4
98,1025,41,1.0,1.0,1.0,2
99,1025,77,1.0,1.0,1.0,2
100,1025,15,1.0,1.0,1.0,1
101,1025,64,1.0,1.0,1.0,1
102,1025,75,1.0,1.0,1.0,1
103,1025,47,1.0,1.0,1.0,1
104,1108,14,1.0,1.0,1.0,5
105,1108,26,1.0,1.0,1.0,5
106,1108,71,1.0,1.0,1.0,5
107,1108,23,1.0,1.0,1.0,5
108,1108,18,1.0,1.0,1.0,5
109,1108,16,1.0,1.0,1.0,5
110,1108,63,1.0,1.0,1.0,5
111,1108,66,1.0,1.0,1.0,5
112,1108,5,1.0,1.0,1.0,5
113,1108,2,1.0,1.0,1.0,5
114,1108,39,1.0,1.0,1.0,5
115,1020,51,1.0,1.0,1.0,4
116,1020,71,1.0,1.0,1.0,3
117,1020,23,1.0,1.0,1.0,4
118,1020,74,1.0,1.0,1.0,3
119,1020,41,1.0,1.0,1.0,3
120,1020,19,1.0,1.0,1.0,3
121,1020,36,1.0,1.0,1.0,3
122,1020,56,1.0,1.0,1.0,3
123,1020,5,1.0,1.0,1.0,3
124,1020,2,1.0,1.0,1.0,4
125,1020,31,1.0,1.0,1.0,4
126,1020,12,1.0,1.0,1.0,5
127,1020,46,1.0,1.0,1.0,2
128,1020,7,1.0,1.0,1.0,4
129,1020,38,1.0,1.0,1.0,2
130,1020,73,1.0,1.0,1.0,2
131,1020,18,1.0,1.0,1.0,3
132,1020,67,1.0,1.0,1.0,2
133,1020,75,1.0,1.0,1.0,1
134,1003,38,1.0,1.0,1.0,3
135,1003,8,1.0,1.0,1.0,4
136,1003,74,1.0,1.0,1.0,3
137,1003,5,1.0,1.0,1.0,1
138,1003,2,1.0,1.0,1.0,1
139,1003,1,1.0,1.0,1.0,3
140,1003,64,1.0,1.0,1.0,4
141,1003,7,1.0,1.0,1.0,4
142,1003,0,1.0,1.0,1.0,2
143,1003,10,1.0,1.0,1.0,4
144,1003,49,1.0,1.0,1.0,3
145,1003,39,1.0,1.0,1.0,1
146,1003,30,1.0,1.0,1.0,1
147,1003,53,1.0,1.0,1.0,1
148,1003,38,1.0,1.0,1.0,1
149,1003,8,1.0,1.0,1.0,1
150,1003,74,1.0,1.0,1.0,1
151,1003,5,1.0,1.0,1.0,1
152,1003,2,1.0,1.0,1.0,1
153,1003,1,1.0,1.0,1.0,1
154,1003,64,1.0,1.0,1.0,1
155,1003,7,1.0,1.0,1.0,1
156,1003,0,1.0,1.0,1.0,1
157,1003,10,1.0,1.0,1.0,1
158,1003,49,1.0,1.0,1.0,1
159,1003,38,1.0,2.0,3.0,1
160,1003,8,1.0,2.0,3.0,1
161,1003,74,1.0,2.0,3.0,1
162,1003,5,1.0,2.0,3.0,1
163,1003,2,1.0,2.0,3.0,1
164,1003,1,1.0,2.0,3.0,1
165,1003,64,1.0,2.0,3.0,1
166,1003,7,1.0,2.0,3.0,1
167,1003,0,1.0,2.0,3.0,1
168,1003,10,1.0,2.0,3.0,1
169,1003,49,1.0,2.0,3.0,1
170,1003,39,1.0,2.0,1.0,1
171,1003,30,1.0,2.0,1.0,1
172,1003,53,1.0,2.0,1.0,1
173,1003,39,1.0,2.0,3.0,1
174,1003,30,1.0,2.0,3.0,1
175,1003,53,1.0,2.0,3.0,1
176,1019,38,1.0,1.0,1.0,5
177,1019,23,1.0,1.0,1.0,5
178,1019,18,1.0,1.0,1.0,5
179,1019,19,1.0,1.0,1.0,5
180,1019,2,1.0,1.0,1.0,5
181,1019,6,1.0,1.0,1.0,5
182,1019,0,1.0,1.0,1.0,5
183,1019,55,1.0,1.0,1.0,5
184,1019,44,1.0,1.0,1.0,5
185,1019,10,1.0,1.0,1.0,5
186,1019,47,1.0,1.0,1.0,4
187,1019,37,1.0,1.0,1.0,3
188,1019,30,1.0,1.0,1.0,3
189,1019,43,1.0,1.0,1.0,3
190,1046,30,1.0,1.0,1.0,3
191,1046,4,1.0,1.0,1.0,3
192,1046,72,1.0,1.0,1.0,4
193,1046,55,1.0,1.0,1.0,4
194,1046,3,1.0,1.0,1.0,2
195,1046,35,1.0,1.0,1.0,1
196,1046,27,1.0,1.0,1.0,1
197,1046,53,1.0,1.0,1.0,1
198,1046,30,1.0,2.0,1.0,1
199,1046,4,1.0,2.0,1.0,1
200,1046,72,1.0,2.0,1.0,1
201,1046,55,1.0,2.0,1.0,1
202,1046,3,1.0,2.0,1.0,1
203,1046,30,1.0,1.0,1.0,2
204,1046,4,1.0,1.0,1.0,3
205,1046,72,1.0,1.0,1.0,2
206,1046,55,1.0,1.0,1.0,3
207,1046,3,1.0,1.0,1.0,3
208,1046,30,2.0,2.0,3.0,2
209,1046,4,2.0,2.0,3.0,2
210,1046,72,2.0,2.0,3.0,2
211,1046,55,2.0,2.0,3.0,3
212,1046,3,2.0,2.0,3.0,3
213,1046,35,2.0,1.0,1.0,2
214,1046,27,2.0,1.0,1.0,2
215,1046,53,2.0,1.0,1.0,2
216,1046,35,1.0,2.0,3.0,2
217,1046,27,1.0,2.0,3.0,3
218,1046,53,1.0,2.0,3.0,2
219,1046,35,2.0,1.0,3.0,3
220,1046,27,2.0,1.0,3.0,2
221,1046,53,2.0,1.0,3.0,1
222,1067,26,1.0,1.0,1.0,3
223,1067,74,1.0,1.0,1.0,4
224,1067,4,1.0,1.0,1.0,4
225,1067,7,1.0,1.0,1.0,5
226,1067,49,1.0,1.0,1.0,5
227,1067,39,1.0,1.0,1.0,1
228,1067,30,1.0,1.0,1.0,1
229,1067,61,1.0,1.0,1.0,1
230,1067,26,1.0,1.0,3.0,1
231,1067,74,1.0,1.0,3.0,1
232,1067,4,1.0,1.0,3.0,1
233,1067,7,1.0,1.0,3.0,1
234,1067,49,1.0,1.0,3.0,1
235,1067,26,2.0,1.0,3.0,4
236,1067,74,2.0,1.0,3.0,5
237,1067,4,2.0,1.0,3.0,2
238,1067,7,2.0,1.0,3.0,2
239,1067,49,2.0,1.0,3.0,1
240,1067,26,2.0,2.0,3.0,5
241,1067,74,2.0,2.0,3.0,5
242,1067,4,2.0,2.0,3.0,5
243,1067,7,2.0,2.0,3.0,5
244,1067,49,2.0,2.0,3.0,2
245,1067,39,2.0,1.0,3.0,1
246,1067,30,2.0,1.0,3.0,1
247,1067,61,2.0,1.0,3.0,1
248,1067,39,1.0,1.0,3.0,1
249,1067,30,1.0,1.0,3.0,2
250,1067,61,1.0,1.0,3.0,1
251,1067,39,2.0,1.0,3.0,1
252,1067,30,2.0,1.0,3.0,1
253,1067,61,2.0,1.0,3.0,1
254,1018,2,1.0,1.0,1.0,4
255,1018,4,1.0,1.0,1.0,5
256,1018,13,1.0,1.0,1.0,5
257,1018,28,1.0,1.0,1.0,5
258,1018,10,1.0,1.0,1.0,5
259,1018,7,1.0,1.0,1.0,1
260,1018,53,1.0,1.0,1.0,1
261,1018,49,1.0,1.0,1.0,1
262,1018,2,2.0,2.0,3.0,4
263,1018,4,2.0,2.0,3.0,5
264,1018,13,2.0,2.0,3.0,4
265,1018,28,2.0,2.0,3.0,5
266,1018,10,2.0,2.0,3.0,3
267,1018,2,1.0,1.0,3.0,4
268,1018,4,1.0,1.0,3.0,5
269,1018,13,1.0,1.0,3.0,5
270,1018,28,1.0,1.0,3.0,5
271,1018,10,1.0,1.0,3.0,5
272,1018,7,2.0,2.0,1.0,1
273,1018,53,2.0,2.0,1.0,1
274,1018,49,2.0,2.0,1.0,1
275,1018,7,2.0,2.0,3.0,1
276,1018,53,2.0,2.0,3.0,1
277,1018,49,2.0,2.0,3.0,1
278,1007,23,1.0,1.0,1.0,5
279,1007,36,1.0,1.0,1.0,5
280,1007,17,1.0,1.0,1.0,4
281,1007,25,1.0,1.0,1.0,3
282,1007,47,1.0,1.0,1.0,4
283,1007,51,1.0,1.0,1.0,2
284,1007,71,1.0,1.0,1.0,1
285,1007,69,1.0,1.0,1.0,1
286,1007,23,1.0,2.0,3.0,5
287,1007,36,1.0,2.0,3.0,5
288,1007,17,1.0,2.0,3.0,5
289,1007,25,1.0,2.0,3.0,4
290,1007,47,1.0,2.0,3.0,5
291,1007,23,2.0,2.0,3.0,5
292,1007,36,2.0,2.0,3.0,5
293,1007,17,2.0,2.0,3.0,5
294,1007,25,2.0,2.0,3.0,4
295,1007,47,2.0,2.0,3.0,5
296,1007,51,1.0,2.0,1.0,1
297,1007,71,1.0,2.0,1.0,1
298,1007,69,1.0,2.0,1.0,1
299,1007,51,1.0,1.0,3.0,1
300,1007,71,1.0,1.0,3.0,1
301,1007,69,1.0,1.0,3.0,1
302,1009,38,1.0,1.0,1.0,4
303,1009,14,1.0,1.0,1.0,5
304,1009,56,1.0,1.0,1.0,5
305,1009,45,1.0,1.0,1.0,4
306,1009,15,1.0,1.0,1.0,5
307,1009,73,1.0,1.0,1.0,2
308,1009,74,1.0,1.0,1.0,2
309,1009,49,1.0,1.0,1.0,1
310,1009,38,1.0,1.0,3.0,4
311,1009,14,1.0,1.0,3.0,4
312,1009,56,1.0,1.0,3.0,5
313,1009,45,1.0,1.0,3.0,4
314,1009,15,1.0,1.0,3.0,5
315,1009,38,2.0,1.0,3.0,4
316,1009,14,2.0,1.0,3.0,5
317,1009,56,2.0,1.0,3.0,5
318,1009,45,2.0,1.0,3.0,4
319,1009,15,2.0,1.0,3.0,5
320,1009,73,2.0,2.0,3.0,2
321,1009,74,2.0,2.0,3.0,2
322,1009,49,2.0,2.0,3.0,1
323,1009,73,2.0,1.0,3.0,2
324,1009,74,2.0,1.0,3.0,2
325,1009,49,2.0,1.0,3.0,1
326,1048,51,1.0,1.0,1.0,4
327,1048,54,1.0,1.0,1.0,4
328,1048,38,1.0,1.0,1.0,4
329,1048,14,1.0,1.0,1.0,4
330,1048,8,1.0,1.0,1.0,4
331,1048,26,1.0,1.0,1.0,3
332,1048,73,1.0,1.0,1.0,3
333,1048,16,1.0,1.0,1.0,5
334,1048,51,1.0,2.0,3.0,4
335,1048,54,1.0,2.0,3.0,4
336,1048,38,1.0,2.0,3.0,5
337,1048,14,1.0,2.0,3.0,3
338,1048,8,1.0,2.0,3.0,4
339,1048,51,2.0,1.0,3.0,2
340,1048,54,2.0,1.0,3.0,3
341,1048,38,2.0,1.0,3.0,3
342,1048,14,2.0,1.0,3.0,3
343,1048,8,2.0,1.0,3.0,4
344,1048,26,2.0,1.0,3.0,3
345,1048,73,2.0,1.0,3.0,3
346,1048,16,2.0,1.0,3.0,4
347,1048,26,2.0,2.0,3.0,3
348,1048,73,2.0,2.0,3.0,3
349,1048,16,2.0,2.0,3.0,4
350,1057,62,1.0,1.0,1.0,3
351,1057,30,1.0,1.0,1.0,4
352,1057,29,1.0,1.0,1.0,5
353,1057,0,1.0,1.0,1.0,5
354,1057,10,1.0,1.0,1.0,5
355,1057,8,1.0,1.0,1.0,1
356,1057,76,1.0,1.0,1.0,1
357,1057,27,1.0,1.0,1.0,1
358,1057,25,1.0,1.0,1.0,1
359,1057,42,1.0,1.0,1.0,1
360,1057,62,2.0,1.0,3.0,2
361,1057,30,2.0,1.0,3.0,3
362,1057,29,2.0,1.0,3.0,1
363,1057,0,2.0,1.0,3.0,5
364,1057,10,2.0,1.0,3.0,4
365,1057,62,1.0,1.0,3.0,2
366,1057,30,1.0,1.0,3.0,5
367,1057,29,1.0,1.0,3.0,1
368,1057,0,1.0,1.0,3.0,4
369,1057,10,1.0,1.0,3.0,3
370,1057,62,2.0,1.0,3.0,2
371,1057,30,2.0,1.0,3.0,4
372,1057,29,2.0,1.0,3.0,1
373,1057,0,2.0,1.0,3.0,3
374,1057,10,2.0,1.0,3.0,5
375,1057,8,2.0,2.0,3.0,1
376,1057,76,2.0,2.0,3.0,1
377,1057,27,2.0,2.0,3.0,1
378,1057,25,2.0,2.0,3.0,1
379,1057,42,2.0,2.0,3.0,1
380,1057,8,1.0,1.0,3.0,1
381,1057,76,1.0,1.0,3.0,1
382,1057,27,1.0,1.0,3.0,1
383,1057,25,1.0,1.0,3.0,1
384,1057,42,1.0,1.0,3.0,1
385,1057,8,2.0,1.0,3.0,1
386,1057,76,2.0,1.0,3.0,1
387,1057,27,2.0,1.0,3.0,1
388,1057,25,2.0,1.0,3.0,1
389,1057,42,2.0,1.0,3.0,1
390,1030,38,1.0,1.0,1.0,4
391,1030,74,1.0,1.0,1.0,3
392,1030,19,1.0,1.0,1.0,5
393,1030,11,1.0,1.0,1.0,5
394,1030,72,1.0,1.0,1.0,4
395,1030,77,1.0,1.0,1.0,2
396,1030,45,1.0,1.0,1.0,2
397,1030,3,1.0,1.0,1.0,1
398,1030,38,1.0,2.0,1.0,2
399,1030,74,1.0,2.0,1.0,4
400,1030,19,1.0,2.0,1.0,5
401,1030,11,1.0,2.0,1.0,2
402,1030,72,1.0,2.0,1.0,5
403,1030,38,1.0,1.0,3.0,2
404,1030,74,1.0,1.0,3.0,2
405,1030,19,1.0,1.0,3.0,5
406,1030,11,1.0,1.0,3.0,3
407,1030,72,1.0,1.0,3.0,5
408,1030,38,1.0,2.0,3.0,5
409,1030,74,1.0,2.0,3.0,2
410,1030,19,1.0,2.0,3.0,3
411,1030,11,1.0,2.0,3.0,5
412,1030,72,1.0,2.0,3.0,3
413,1030,77,1.0,2.0,1.0,1
414,1030,45,1.0,2.0,1.0,1
415,1030,3,1.0,2.0,1.0,1
416,1030,77,2.0,2.0,1.0,1
417,1030,45,2.0,2.0,1.0,1
418,1030,3,2.0,2.0,1.0,1
419,1030,77,2.0,1.0,3.0,1
420,1030,45,2.0,1.0,3.0,1
421,1030,3,2.0,1.0,3.0,1
422,1094,54,1.0,1.0,1.0,5
423,1094,14,1.0,1.0,1.0,5
424,1094,8,1.0,1.0,1.0,4
425,1094,26,1.0,1.0,1.0,3
426,1094,63,1.0,1.0,1.0,5
427,1094,74,1.0,1.0,1.0,4
428,1094,39,1.0,1.0,1.0,4
429,1094,52,1.0,1.0,1.0,5
430,1094,77,1.0,1.0,1.0,3
431,1094,33,1.0,1.0,1.0,5
432,1094,60,1.0,1.0,1.0,4
433,1094,6,1.0,1.0,1.0,5
434,1094,17,1.0,1.0,1.0,4
435,1094,21,1.0,1.0,1.0,5
436,1094,13,1.0,1.0,1.0,4
437,1094,57,1.0,1.0,1.0,5
438,1094,55,1.0,1.0,1.0,5
439,1094,20,1.0,1.0,1.0,5
440,1094,10,1.0,1.0,1.0,4
441,1094,31,1.0,1.0,1.0,2
442,1094,50,1.0,1.0,1.0,2
443,1094,78,1.0,1.0,1.0,2
444,1107,51,1.0,1.0,1.0,4
445,1107,63,1.0,1.0,1.0,4
446,1107,35,1.0,1.0,1.0,3
447,1107,52,1.0,1.0,1.0,3
448,1107,61,1.0,1.0,1.0,5
449,1107,7,1.0,1.0,1.0,5
450,1107,68,1.0,1.0,1.0,1
451,1107,58,1.0,1.0,1.0,1
452,1107,25,1.0,1.0,1.0,1
453,1107,51,2.0,1.0,1.0,4
454,1107,63,2.0,1.0,1.0,4
455,1107,35,2.0,1.0,1.0,3
456,1107,52,2.0,1.0,1.0,4
457,1107,61,2.0,1.0,1.0,5
458,1107,7,2.0,1.0,1.0,5
459,1107,51,2.0,1.0,3.0,1
460,1107,63,2.0,1.0,3.0,3
461,1107,35,2.0,1.0,3.0,1
462,1107,52,2.0,1.0,3.0,3
463,1107,61,2.0,1.0,3.0,3
464,1107,7,2.0,1.0,3.0,2
465,1107,51,2.0,2.0,3.0,3
466,1107,63,2.0,2.0,3.0,2
467,1107,35,2.0,2.0,3.0,2
468,1107,52,2.0,2.0,3.0,3
469,1107,61,2.0,2.0,3.0,2
470,1107,7,2.0,2.0,3.0,2
471,1107,68,2.0,1.0,1.0,1
472,1107,58,2.0,1.0,1.0,1
473,1107,25,2.0,1.0,1.0,2
474,1107,68,2.0,1.0,3.0,2
475,1107,58,2.0,1.0,3.0,2
476,1107,25,2.0,1.0,3.0,2
477,1107,68,1.0,2.0,3.0,1
478,1107,58,1.0,2.0,3.0,1
479,1107,25,1.0,2.0,3.0,1
480,1066,8,1.0,1.0,1.0,4
481,1066,63,1.0,1.0,1.0,5
482,1066,15,1.0,1.0,1.0,5
483,1066,57,1.0,1.0,1.0,4
484,1066,10,1.0,1.0,1.0,5
485,1066,76,1.0,1.0,1.0,1
486,1066,17,1.0,1.0,1.0,1
487,1066,45,1.0,1.0,1.0,1
488,1066,64,1.0,1.0,1.0,2
489,1066,75,1.0,1.0,1.0,1
490,1066,8,2.0,2.0,3.0,5
491,1066,63,2.0,2.0,3.0,2
492,1066,15,2.0,2.0,3.0,1
493,1066,57,2.0,2.0,3.0,1
494,1066,10,2.0,2.0,3.0,2
495,1066,8,1.0,1.0,3.0,5
496,1066,63,1.0,1.0,3.0,2
497,1066,15,1.0,1.0,3.0,1
498,1066,57,1.0,1.0,3.0,1
499,1066,10,1.0,1.0,3.0,2
500,1066,8,1.0,2.0,3.0,5
501,1066,63,1.0,2.0,3.0,5
502,1066,15,1.0,2.0,3.0,4
503,1066,57,1.0,2.0,3.0,4
504,1066,10,1.0,2.0,3.0,5
505,1066,76,1.0,1.0,3.0,1
506,1066,17,1.0,1.0,3.0,1
507,1066,45,1.0,1.0,3.0,1
508,1066,64,1.0,1.0,3.0,1
509,1066,75,1.0,1.0,3.0,2
510,1066,76,2.0,1.0,3.0,1
511,1066,17,2.0,1.0,3.0,1
512,1066,45,2.0,1.0,3.0,1
513,1066,64,2.0,1.0,3.0,1
514,1066,75,2.0,1.0,3.0,2
515,1066,76,1.0,2.0,3.0,1
516,1066,17,1.0,2.0,3.0,1
517,1066,45,1.0,2.0,3.0,1
518,1066,64,1.0,2.0,3.0,2
519,1066,75,1.0,2.0,3.0,2
520,1122,23,1.0,1.0,1.0,4
521,1122,36,1.0,1.0,1.0,3
522,1122,68,1.0,1.0,1.0,3
523,1122,7,1.0,1.0,1.0,5
524,1122,75,1.0,1.0,1.0,4
525,1122,21,1.0,1.0,1.0,2
526,1122,12,1.0,1.0,1.0,1
527,1122,49,1.0,1.0,1.0,2
528,1122,23,2.0,1.0,1.0,3
529,1122,36,2.0,1.0,1.0,4
530,1122,68,2.0,1.0,1.0,3
531,1122,7,2.0,1.0,1.0,5
532,1122,75,2.0,1.0,1.0,5
533,1122,23,1.0,1.0,3.0,3
534,1122,36,1.0,1.0,3.0,4
535,1122,68,1.0,1.0,3.0,3
536,1122,7,1.0,1.0,3.0,2
537,1122,75,1.0,1.0,3.0,5
538,1122,23,2.0,1.0,3.0,5
539,1122,36,2.0,1.0,3.0,3
540,1122,68,2.0,1.0,3.0,4
541,1122,7,2.0,1.0,3.0,5
542,1122,75,2.0,1.0,3.0,3
543,1122,21,2.0,1.0,1.0,2
544,1122,12,2.0,1.0,1.0,2
545,1122,49,2.0,1.0,1.0,2
546,1122,21,1.0,1.0,3.0,2
547,1122,12,1.0,1.0,3.0,1
548,1122,49,1.0,1.0,3.0,1
549,1122,21,2.0,1.0,3.0,2
550,1122,12,2.0,1.0,3.0,1
551,1122,49,2.0,1.0,3.0,1
552,1074,26,1.0,1.0,1.0,4
553,1074,63,1.0,1.0,1.0,4
554,1074,67,1.0,1.0,1.0,4
555,1074,6,1.0,1.0,1.0,4
556,1074,45,1.0,1.0,1.0,4
557,1074,55,1.0,1.0,1.0,4
558,1074,16,1.0,1.0,1.0,1
559,1074,25,1.0,1.0,1.0,1
560,1074,59,1.0,1.0,1.0,2
561,1074,46,1.0,1.0,1.0,1
562,1074,26,1.0,1.0,1.0,3
563,1074,63,1.0,1.0,1.0,5
564,1074,67,1.0,1.0,1.0,2
565,1074,6,1.0,1.0,1.0,3
566,1074,45,1.0,1.0,1.0,4
567,1074,55,1.0,1.0,1.0,4
568,1074,26,1.0,1.0,3.0,3
569,1074,63,1.0,1.0,3.0,4
570,1074,67,1.0,1.0,3.0,1
571,1074,6,1.0,1.0,3.0,3
572,1074,45,1.0,1.0,3.0,1
573,1074,55,1.0,1.0,3.0,4
574,1074,26,1.0,1.0,3.0,4
575,1074,63,1.0,1.0,3.0,3
576,1074,67,1.0,1.0,3.0,4
577,1074,6,1.0,1.0,3.0,1
578,1074,45,1.0,1.0,3.0,1
579,1074,55,1.0,1.0,3.0,4
580,1074,16,2.0,2.0,1.0,1
581,1074,25,2.0,2.0,1.0,1
582,1074,59,2.0,2.0,1.0,1
583,1074,46,2.0,2.0,1.0,1
584,1074,16,2.0,1.0,3.0,3
585,1074,25,2.0,1.0,3.0,2
586,1074,59,2.0,1.0,3.0,1
587,1074,46,2.0,1.0,3.0,1
588,1074,16,2.0,1.0,3.0,1
589,1074,25,2.0,1.0,3.0,1
590,1074,59,2.0,1.0,3.0,1
591,1074,46,2.0,1.0,3.0,1
592,1040,38,1.0,1.0,1.0,4
593,1040,63,1.0,1.0,1.0,4
594,1040,18,1.0,1.0,1.0,5
595,1040,52,1.0,1.0,1.0,2
596,1040,4,1.0,1.0,1.0,5
597,1040,15,1.0,1.0,1.0,4
598,1040,23,1.0,1.0,1.0,1
599,1040,5,1.0,1.0,1.0,1
600,1040,77,1.0,1.0,1.0,1
601,1040,38,2.0,1.0,1.0,4
602,1040,63,2.0,1.0,1.0,4
603,1040,18,2.0,1.0,1.0,4
604,1040,52,2.0,1.0,1.0,3
605,1040,4,2.0,1.0,1.0,4
606,1040,15,2.0,1.0,1.0,3
607,1040,38,2.0,1.0,3.0,4
608,1040,63,2.0,1.0,3.0,4
609,1040,18,2.0,1.0,3.0,5
610,1040,52,2.0,1.0,3.0,2
611,1040,4,2.0,1.0,3.0,3
612,1040,15,2.0,1.0,3.0,2
613,1040,38,1.0,1.0,3.0,3
614,1040,63,1.0,1.0,3.0,5
615,1040,18,1.0,1.0,3.0,4
616,1040,52,1.0,1.0,3.0,3
617,1040,4,1.0,1.0,3.0,3
618,1040,15,1.0,1.0,3.0,4
619,1040,23,2.0,2.0,3.0,1
620,1040,5,2.0,2.0,3.0,1
621,1040,77,2.0,2.0,3.0,1
622,1040,23,1.0,1.0,3.0,1
623,1040,5,1.0,1.0,3.0,1
624,1040,77,1.0,1.0,3.0,1
625,1040,23,1.0,2.0,3.0,1
626,1040,5,1.0,2.0,3.0,1
627,1040,77,1.0,2.0,3.0,1
628,1059,6,1.0,1.0,1.0,4
629,1059,31,1.0,1.0,1.0,3
630,1059,45,1.0,1.0,1.0,4
631,1059,15,1.0,1.0,1.0,3
632,1059,13,1.0,1.0,1.0,3
633,1059,1,1.0,1.0,1.0,3
634,1059,74,1.0,1.0,1.0,1
635,1059,58,1.0,1.0,1.0,1
636,1059,17,1.0,1.0,1.0,1
637,1059,7,1.0,1.0,1.0,1
638,1059,49,1.0,1.0,1.0,1
639,1059,6,2.0,2.0,1.0,5
640,1059,31,2.0,2.0,1.0,4
641,1059,45,2.0,2.0,1.0,3
642,1059,15,2.0,2.0,1.0,2
643,1059,13,2.0,2.0,1.0,3
644,1059,1,2.0,2.0,1.0,3
645,1059,6,2.0,1.0,3.0,2
646,1059,31,2.0,1.0,3.0,3
647,1059,45,2.0,1.0,3.0,2
648,1059,15,2.0,1.0,3.0,3
649,1059,13,2.0,1.0,3.0,2
650,1059,1,2.0,1.0,3.0,5
651,1059,6,1.0,1.0,3.0,3
652,1059,31,1.0,1.0,3.0,3
653,1059,45,1.0,1.0,3.0,3
654,1059,15,1.0,1.0,3.0,5
655,1059,13,1.0,1.0,3.0,3
656,1059,1,1.0,1.0,3.0,4
657,1059,74,1.0,2.0,1.0,1
658,1059,58,1.0,2.0,1.0,1
659,1059,17,1.0,2.0,1.0,1
660,1059,7,1.0,2.0,1.0,1
661,1059,49,1.0,2.0,1.0,1
662,1059,74,1.0,1.0,1.0,1
663,1059,58,1.0,1.0,1.0,1
